Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-07-26,2242,LAMBTON COUNTY,18-29yrs,10937,7432,,18558,0.5893,0.4005
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",18-29yrs,14760,10298,,21695,0.6803,0.4747
2021-07-26,2244,MIDDLESEX-LONDON,18-29yrs,65937,43742,,88180,0.7478,0.4961
2021-07-26,2246,NIAGARA REGION,18-29yrs,47032,33010,,70592,0.6663,0.4676
2021-07-26,2247,NORTH BAY PARRY SOUND DISTRICT,18-29yrs,10114,7247,,17552,0.5762,0.4129
2021-07-26,2249,NORTHWESTERN,18-29yrs,9745,7509,,13990,0.6966,0.5367
2021-07-26,2253,PEEL REGION,18-29yrs,238377,163270,,278974,0.8545,0.5853
2021-07-26,2255,PETERBOROUGH COUNTY-CITY,18-29yrs,14434,10290,,21688,0.6655,0.4745
2021-07-26,2256,PORCUPINE,18-29yrs,7940,5664,,12232,0.6491,0.463
2021-07-26,2257,RENFREW COUNTY AND DISTRICT,18-29yrs,8364,6273,,14861,0.5628,0.4221
2021-07-26,2260,SIMCOE MUSKOKA DISTRICT,18-29yrs,56856,36692,,87904,0.6468,0.4174
2021-07-26,4913,SOUTHWESTERN,18-29yrs,18331,11070,,30393,0.6031,0.3642
2021-07-26,2261,SUDBURY AND DISTRICT,18-29yrs,18641,13091,,29436,0.6333,0.4447
2021-07-26,2262,THUNDER BAY DISTRICT,18-29yrs,17660,12869,,22251,0.7937,0.5784
2021-07-26,2263,TIMISKAMING,18-29yrs,2549,1727,,4360,0.5847,0.3961
2021-07-26,3895,TORONTO,18-29yrs,406143,321659,,585930,0.6932,0.549
2021-07-26,9999,UNKNOWN,18-29yrs,1313,135,,0,,
2021-07-26,2265,WATERLOO REGION,18-29yrs,81927,56766,,99244,0.8255,0.572
2021-07-26,2266,WELLINGTON-DUFFERIN-GUELPH,18-29yrs,34659,25095,,50230,0.69,0.4996
2021-07-26,2268,WINDSOR-ESSEX COUNTY,18-29yrs,47333,35565,,72405,0.6537,0.4912
2021-07-26,2270,YORK REGION,18-29yrs,137791,111729,,198762,0.6932,0.5621
2021-07-26,2226,ALGOMA DISTRICT,30-39yrs,8812,6625,,12062,0.7306,0.5493
2021-07-26,2227,BRANT COUNTY,30-39yrs,14575,11253,,19698,0.7399,0.5713
2021-07-26,2240,CHATHAM-KENT,30-39yrs,7269,5511,,11594,0.627,0.4753
2021-07-26,2237,CITY OF HAMILTON,30-39yrs,58261,46118,,84056,0.6931,0.5487
2021-07-26,2251,CITY OF OTTAWA,30-39yrs,116974,91932,,158259,0.7391,0.5809
2021-07-26,2230,DURHAM REGION,30-39yrs,74710,58850,,93632,0.7979,0.6285
2021-07-26,2258,EASTERN ONTARIO,30-39yrs,16679,11750,,21920,0.7609,0.536
2021-07-26,2233,GREY BRUCE,30-39yrs,13378,10835,,17931,0.7461,0.6043
2021-07-26,2234,HALDIMAND-NORFOLK,30-39yrs,8166,6179,,11852,0.689,0.5214
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",30-39yrs,13577,9951,,17429,0.779,0.5709
2021-07-26,2236,HALTON REGION,30-39yrs,60705,44471,,80648,0.7527,0.5514
2021-07-26,2238,HASTINGS & PRINCE EDWARD COUNTIES,30-39yrs,11476,8017,,17863,0.6424,0.4488
2021-07-26,5183,HURON PERTH,30-39yrs,11181,7839,,14728,0.7592,0.5323
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",30-39yrs,20167,15873,,29909,0.6743,0.5307
2021-07-26,2242,LAMBTON COUNTY,30-39yrs,10044,7586,,14493,0.693,0.5234
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",30-39yrs,14662,11096,,16449,0.8914,0.6746
2021-07-26,2244,MIDDLESEX-LONDON,30-39yrs,53453,38649,,73436,0.7279,0.5263
