Date,Agegroup,Percent_at_least_one_dose
2021-02-24,70-79yrs,0.023
2021-02-24,80+,0.132
2021-02-24,Ontario_12plus,0.0272
2021-02-25,12-17yrs,0
2021-02-25,18-29yrs,0.016
2021-02-25,30-39yrs,0.024
2021-02-25,40-49yrs,0.028
2021-02-25,50-59yrs,0.031
2021-02-25,60-69yrs,0.027
2021-02-25,70-79yrs,0.023
2021-02-25,80+,0.134
2021-02-25,Ontario_12plus,0.0284
2021-02-26,12-17yrs,0
2021-02-26,18-29yrs,0.017
2021-02-26,30-39yrs,0.026
2021-02-26,40-49yrs,0.03
2021-02-26,50-59yrs,0.033
2021-02-26,60-69yrs,0.029
2021-02-26,70-79yrs,0.024
2021-02-26,80+,0.137
2021-02-26,Ontario_12plus,0.03
2021-02-27,12-17yrs,0
2021-02-27,18-29yrs,0.018
2021-02-27,30-39yrs,0.028
2021-02-27,40-49yrs,0.032
2021-02-27,50-59yrs,0.035
2021-02-27,60-69yrs,0.031
2021-02-27,70-79yrs,0.025
2021-02-27,80+,0.139
2021-02-27,Ontario_12plus,0.0317
2021-02-28,12-17yrs,0
2021-02-28,18-29yrs,0.019
2021-02-28,30-39yrs,0.03
2021-02-28,40-49yrs,0.034
2021-02-28,50-59yrs,0.037
2021-02-28,60-69yrs,0.032
2021-02-28,70-79yrs,0.026
2021-02-28,80+,0.141
2021-02-28,Ontario_12plus,0.0331
2021-03-01,12-17yrs,0
2021-03-01,18-29yrs,0.02
2021-03-01,30-39yrs,0.031
2021-03-01,40-49yrs,0.035
2021-03-01,50-59yrs,0.038
2021-03-01,60-69yrs,0.034
2021-03-01,70-79yrs,0.027
2021-03-01,80+,0.144
2021-03-01,Ontario_12plus,0.0344
2021-03-02,12-17yrs,0.001
2021-03-02,18-29yrs,0.021
2021-03-02,30-39yrs,0.033
2021-03-02,40-49yrs,0.037
2021-03-02,50-59yrs,0.04
2021-03-02,60-69yrs,0.035
2021-03-02,70-79yrs,0.028
2021-03-02,80+,0.15
2021-03-02,Ontario_12plus,0.036
2021-03-03,12-17yrs,0.001
2021-03-03,18-29yrs,0.022
2021-03-03,30-39yrs,0.035
2021-03-03,40-49yrs,0.039
2021-03-03,50-59yrs,0.043
2021-03-03,60-69yrs,0.037
2021-03-03,70-79yrs,0.029
2021-03-03,80+,0.158
2021-03-03,Ontario_12plus,0.038
2021-03-04,12-17yrs,0.001
2021-03-04,18-29yrs,0.024
2021-03-04,30-39yrs,0.037
2021-03-04,40-49yrs,0.041
2021-03-04,50-59yrs,0.045
2021-03-04,60-69yrs,0.039
2021-03-04,70-79yrs,0.03
2021-03-04,80+,0.17
2021-03-04,Ontario_12plus,0.0403
2021-03-05,12-17yrs,0.001
2021-03-05,18-29yrs,0.025
2021-03-05,30-39yrs,0.039
2021-03-05,40-49yrs,0.044
2021-03-05,50-59yrs,0.048
2021-03-05,60-69yrs,0.042
2021-03-05,70-79yrs,0.031
2021-03-05,80+,0.185
2021-03-05,Ontario_12plus,0.043
2021-03-06,12-17yrs,0.001
2021-03-06,18-29yrs,0.027
2021-03-06,30-39yrs,0.042
2021-03-06,40-49yrs,0.047
2021-03-06,50-59yrs,0.051
2021-03-06,60-69yrs,0.044
2021-03-06,70-79yrs,0.033
2021-03-06,80+,0.203
2021-03-06,Ontario_12plus,0.0461
2021-03-07,12-17yrs,0.001
2021-03-07,18-29yrs,0.028
2021-03-07,30-39yrs,0.043
