province,date,HA,cases
Newfoundland and Labrador,0003-04-20,Eastern,12
Newfoundland and Labrador,0004-04-20,Eastern,7
Newfoundland and Labrador,0005-04-20,Eastern,14
Newfoundland and Labrador,0006-04-20,Eastern,9
Newfoundland and Labrador,0007-04-20,Eastern,1
Newfoundland and Labrador,0008-04-20,Eastern,2
Newfoundland and Labrador,0009-04-20,Eastern,2
Newfoundland and Labrador,0010-04-20,Eastern,3
Newfoundland and Labrador,0011-04-20,Eastern,2
Newfoundland and Labrador,0012-04-20,Eastern,1
Newfoundland and Labrador,0013-04-20,Eastern,0
Newfoundland and Labrador,0014-04-20,Eastern,0
Newfoundland and Labrador,0015-04-20,Eastern,2
Newfoundland and Labrador,0016-04-20,Eastern,5
Newfoundland and Labrador,0017-04-20,Eastern,4
Newfoundland and Labrador,0018-04-20,Eastern,0
Newfoundland and Labrador,0019-04-20,Eastern,0
Newfoundland and Labrador,0020-04-20,Eastern,0
Newfoundland and Labrador,0021-04-20,Eastern,0
