pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully,numtotal_partiallyrange,numtotal_fullyrange,prop_partiallyrange,prop_fullyrange
60,Yukon,Yukon,2020-12-19,f,All ages,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,Not reported,0,0,0,na,na,na,,,,,,,,
60,Yukon,Yukon,2020-12-19,f,Unknown,0,0,0,na,na,na,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,16-69,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,70-74,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,75-79,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,All ages,0,0,0,0.00,0.00,0.00,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,Not reported,0,0,0,na,na,na,,,,,,,,
60,Yukon,Yukon,2020-12-19,m,Unknown,0,0,0,na,na,na,,,,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,0-15,0,0,0,na,na,na,,,,,,,,
