cases,cumulative_cases,date_report,health_region,province
0,94287,2021-06-27,Calgary,Alberta
136,94423,2021-06-28,Calgary,Alberta
25,94448,2021-06-29,Calgary,Alberta
34,94482,2021-06-30,Calgary,Alberta
0,94482,2021-07-01,Calgary,Alberta
59,94541,2021-07-02,Calgary,Alberta
0,94541,2021-07-03,Calgary,Alberta
0,94541,2021-07-04,Calgary,Alberta
49,94590,2021-07-05,Calgary,Alberta
14,94604,2021-07-06,Calgary,Alberta
24,94628,2021-07-07,Calgary,Alberta
23,94651,2021-07-08,Calgary,Alberta
30,94681,2021-07-09,Calgary,Alberta
0,94681,2021-07-10,Calgary,Alberta
0,94681,2021-07-11,Calgary,Alberta
50,94731,2021-07-12,Calgary,Alberta
19,94750,2021-07-13,Calgary,Alberta
18,94768,2021-07-14,Calgary,Alberta
27,94795,2021-07-15,Calgary,Alberta
24,94819,2021-07-16,Calgary,Alberta
0,94819,2021-07-17,Calgary,Alberta
0,94819,2021-07-18,Calgary,Alberta
75,94894,2021-07-19,Calgary,Alberta
43,94937,2021-07-20,Calgary,Alberta
54,94991,2021-07-21,Calgary,Alberta
58,95049,2021-07-22,Calgary,Alberta
82,95131,2021-07-23,Calgary,Alberta
0,95131,2021-07-24,Calgary,Alberta
0,95131,2021-07-25,Calgary,Alberta
233,95364,2021-07-26,Calgary,Alberta
90,95454,2021-07-27,Calgary,Alberta
99,95553,2021-07-28,Calgary,Alberta
134,95687,2021-07-29,Calgary,Alberta
113,95800,2021-07-30,Calgary,Alberta
0,95800,2021-07-31,Calgary,Alberta
0,95800,2021-08-01,Calgary,Alberta
0,95800,2021-08-02,Calgary,Alberta
379,96179,2021-08-03,Calgary,Alberta
113,96292,2021-08-04,Calgary,Alberta
150,96442,2021-08-05,Calgary,Alberta
163,96605,2021-08-06,Calgary,Alberta
0,96605,2021-08-07,Calgary,Alberta
0,96605,2021-08-08,Calgary,Alberta
397,97002,2021-08-09,Calgary,Alberta
99,97101,2021-08-10,Calgary,Alberta
178,97279,2021-08-11,Calgary,Alberta
186,97465,2021-08-12,Calgary,Alberta
199,97664,2021-08-13,Calgary,Alberta
0,97664,2021-08-14,Calgary,Alberta
0,97664,2021-08-15,Calgary,Alberta
462,98126,2021-08-16,Calgary,Alberta
113,98239,2021-08-17,Calgary,Alberta
215,98454,2021-08-18,Calgary,Alberta
215,98669,2021-08-19,Calgary,Alberta
227,98896,2021-08-20,Calgary,Alberta
0,98896,2021-08-21,Calgary,Alberta
0,98896,2021-08-22,Calgary,Alberta
0,0,2020-01-25,Central,Alberta
0,0,2020-01-26,Central,Alberta
0,0,2020-01-27,Central,Alberta
0,0,2020-01-28,Central,Alberta
0,0,2020-01-29,Central,Alberta
0,0,2020-01-30,Central,Alberta
0,0,2020-01-31,Central,Alberta
0,0,2020-02-01,Central,Alberta
0,0,2020-02-02,Central,Alberta
0,0,2020-02-03,Central,Alberta
0,0,2020-02-04,Central,Alberta
0,0,2020-02-05,Central,Alberta
