province,date,HR,cases
New Brunswick,2020-02-01,Zone 1 (Moncton area),0
New Brunswick,2020-02-02,Zone 1 (Moncton area),0
New Brunswick,2020-02-03,Zone 1 (Moncton area),0
New Brunswick,2020-02-04,Zone 1 (Moncton area),0
New Brunswick,2020-02-05,Zone 1 (Moncton area),0
New Brunswick,2020-02-06,Zone 1 (Moncton area),0
New Brunswick,2020-02-07,Zone 1 (Moncton area),0
New Brunswick,2020-02-08,Zone 1 (Moncton area),0
New Brunswick,2020-02-09,Zone 1 (Moncton area),0
New Brunswick,2020-02-10,Zone 1 (Moncton area),0
